id,q
54,Czy Pana(i) zdaniem komputeryzacja przyczyniła się do uproszczenia języka używanego w mowie i w piśmie?
55,Czy Pana(i) zdaniem przenikanie internetowego i SMS-owego słownictwa do mowy potocznej jest zjawiskiem negatywnym?
56,Czy obawia się Pan(i)Pan(i), że współczesny człowiek utracił anonimowość poprzez pojawienie się Internetu?
57,Czy zetknął się Pan(i) z umieszczeniem nieakceptowanych przez Pana(ą) treści w Internecie na temat Pana(i) lub Pana(i) znajomych przez osoby nieupoważnione?
58,Czy uważa Pan(i) operacje bankowe wykonywane drogą internetową za bezpieczne?
59,Czy obawia się Pan(i) kradzieży przez hakerów danych ze swojego komputera?
60,Czy zdarzyło się Panu(i) lub komuś z Pana(i) znajomych być ofiarą kradzieży danych przez hakerów komputerowych?
61,Czy uważa Pan(i) operacje bankowe wykonywane drogą internetową za bezpieczne?
62,Czy zdarzyło się Panu(i) lub Pana(i) znajomym być ofiarą internetowej przestępczości bankowej?
63,Czy zdaniem Pana(i) pojawienie się komputerów miało wpływ na wzrost bezrobocia?
64,Ataki komputerowych hakerów.
65,Zagrożenia związane z internetową przestępczością bankową.
66,Możliwość umieszczenia niechcianych treści w Internecie na swój temat lub temat osób najbliższych
67,Działalność w Internecie osób z różnymi dewiacjami.
68,Łatwy dostęp dzieci i młodzieży do materiałów o treści pornograficznej.
69,Uzależnienie od komputera i Internetu.
70,Uzależnienie od korzystania z poczty e-mail i SMS-ów.
71,Uzależnienie od gier komputerowych.
72,Przenikanie przez Internet niechcianych treści (spam niechciane informacje i reklamy).
73,Oszustwa internetowe (nieuczciwe sklepy internetowe sprzedaż falsyfikatów jako towarów oryginaln
74,Choroby cywilizacyjne (np. wady postawy  wady wzroku)
75,Smog elektromagnetyczny (tj. pole elektromagnetyczne wywołane przez urządzenia elektroniczne)
76,Płeć
77,Wiek
78,Miejsce zamieszkania
79,Pochodzenie społeczne
80,Stan cywilny
81,Miesięczny dochód (netto) na 1 osobę w gospodarstwie domowym
82,Wykonywane zajęcie
83,Zajmowane stanowisko
84,Staż pracy (na stanowisku związanym z pracą przy komputerze)
